"","Afghanistan","Albania","Algeria","American Samoa","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei","Bulgaria","Burkina Faso","Burma","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Christmas Island","Cocos (Keeling) Islands","Colombia","Comoros","Congo (Brazzaville)","Congo (Kinshasa)","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","East Timor","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Falkland Islands","Faroe Islands","Fiji","Finland","France","French Guiana","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guam","Guatemala","Guernsey","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jersey","Jordan","Kazakhstan","Kenya","Kiribati","Korea","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Lesotho","Liberia","Libya","Lithuania","Luxembourg","Macau","Macedonia","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Micronesia","Moldova","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Namibia","Nepal","Netherlands","Netherlands Antilles","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","Norfolk Island","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Reunion","Romania","Russia","Rwanda","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","Samoa","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","South Korea","South Sudan","Spain","Sri Lanka","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syria","Taiwan","Tajikistan","Tanzania","Thailand","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela","Vietnam","Virgin Islands","Wallis and Futuna","Western Sahara","Yemen","Zambia","Zimbabwe"
"Comoros","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","1","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 2","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 4","0"," 0","0","0"," 0","0","0","0","0","3","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","1"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 1"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 1","0","0"
"Congo (Brazzaville)","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","3","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 1","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 4","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","1","0","0"," 0"," 0","  1","0","0","2","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 1"," 0","0"," 0"," 0"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Congo (Kinshasa)","0"," 0"," 0","0","1","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 7","0","2","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0","10","  0","0"," 0","1","0"," 0","  0","0","0"," 0","0","4"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","2","0","0"," 0"," 0","  2","0","0","4","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 4","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","1"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 2"," 0","0"," 0"," 0"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","1","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 3","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 0","3","1"
"Cook Islands","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  0","0","1","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 0","0"," 2","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0","  3"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Costa Rica","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  1","0"," 0","0","0"," 0","  0","0","0"," 4","0","0"," 0","0"," 0","0"," 0"," 2"," 0"," 0"," 0","0","0"," 2","0"," 1"," 0"," 4","0","0"," 0","0","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 3"," 0","0","0","0","0"," 5","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  3","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 0","0"," 0","3","0","0","0","0","0"," 0"," 0"," 0","0"," 4","0","0"," 3"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  1"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0"," 38"," 0"," 0","0","2"," 0"," 0","0","0"," 0","0","0"
"Cote d'Ivoire","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 6","0","3","0","0","0","0","0"," 0","0","0"," 0","4","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  2","0","0","0","0","0","  0","3","0"," 0","0","0","0"," 0"," 0"," 0","3","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 1","0","0"," 0"," 0","0","0","0","0","5","0"," 0"," 0"," 0","0"," 0","0"," 0","0","4"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 1"," 0","0"," 0"," 0"," 0","0"," 0","0","0","1","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","2"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","7","0","0"," 1"," 0","0"," 0","0"," 0"," 0"," 0","  0","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Croatia","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0","0","0"," 2","0","0","0","0","0","1","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 1"," 2","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  4","0","0","0","0","0"," 15","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 1","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  4"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","1"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","1","0"," 0"," 0","0"," 0"," 1"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 1","0","0","0","0","0","0","0"," 0","0"," 1","0","0"," 0","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 2"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 2","0"," 0","0"," 0"," 0"," 0","  6","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Cuba","0"," 0"," 0","0","1","0","0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0"," 36","0"," 1","0","0"," 0","  0","0","0"," 2","0","0"," 0","0"," 2","0"," 0"," 0"," 0"," 0"," 0","0","0"," 4","0"," 0"," 0"," 1","0","0"," 0","0","0","0"," 0"," 0","  3","0","0","0","0","0","  6","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","1"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  5"," 1","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","1","0","0","0","  8","0","0","0","0","0","0"," 0"," 0","0"," 0"," 1"," 0","0"," 0","1","0","0","0","0","0"," 0"," 0"," 0","0"," 2","0","0"," 1"," 0"," 0"," 0"," 0"," 0","0"," 0"," 3","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  3"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  4","  0"," 0"," 0","0","2"," 0"," 0","0","0"," 0","0","0"
"Cyprus","0"," 0"," 0","0","0","0","0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 2"," 0","0","1"," 1","0","0","0","0","0","0","0"," 0","0","0"," 3","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 1"," 0","0","0"," 0","0"," 0"," 1"," 0","0","0"," 0","0","0","0"," 0"," 0","  1","0","0","0","0","0","  8","0","0"," 9","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 1","0"," 0"," 0"," 0","0"," 0"," 0"," 3","  5"," 0","  0"," 0"," 1"," 0"," 0","0","0"," 0"," 0","0","0","2","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 2","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 2"," 0","0"," 0","0","0","0","0","0","0"," 1"," 0"," 0","0"," 0","0","0"," 0"," 0"," 1"," 0"," 0"," 0","0"," 2"," 6","0","0","0","0","0","0","0"," 0","0"," 1","0","0"," 0","0","0","0","0"," 0","  0","0","  1"," 0","0","0","0"," 0"," 1"," 3","  0"," 0"," 0"," 0","0","0","0"," 0","14","0"," 0","0"," 0"," 1"," 4"," 20","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Czech Republic","0"," 0"," 0","0","0","0","0"," 0"," 2"," 0"," 0"," 3"," 2"," 0"," 0"," 0","0","2"," 2","0","0","0","0","0","0","0"," 0","0","0"," 2","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 1"," 0"," 1"," 0"," 3","0","0"," 0","0"," 0"," 0"," 0","0","0"," 1","0","0","0"," 0"," 2","  8","0","0","0","0","1"," 11","0","0"," 1","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 3","0"," 0"," 0"," 0","0"," 1"," 0"," 3"," 16"," 0","  0"," 0"," 0"," 1"," 0","0","0"," 0"," 0","0","1","1","0","0","0"," 1"," 0"," 0","1"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 6"," 0","0"," 0","0","0","0","0","0","0"," 2"," 0"," 0","0"," 0","0","0"," 0"," 0"," 7"," 1"," 0"," 0","0"," 1","28","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","3","1","0","0"," 0","  2","0","  9"," 0","0","0","0"," 4"," 3"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 1","0"," 0","0"," 0"," 6"," 4"," 11","  2"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Denmark","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 1"," 0","0","0"," 4","0","0","0","0","0","1","0"," 0","0","0"," 0","0","0","0","0"," 0","  3","0"," 0","0","0"," 0","  2","0","0"," 0","0","0"," 0","0"," 0","0"," 2"," 0"," 0"," 3"," 0","0","0"," 0","0"," 0"," 2"," 0","0","0"," 2","0","0","2"," 0"," 8"," 12","0","0","0","0","0"," 25","0","0"," 2","1","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 2","2"," 0"," 0"," 1","0"," 2"," 0"," 0","  7"," 0","  2"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","4","0","0","0","0"," 2"," 1"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","1","0"," 2"," 0","0"," 0"," 8"," 0","0"," 0","0","0","0","0","0","0","23"," 0"," 1","0"," 0","0","0"," 0"," 0"," 6"," 5"," 0"," 1","0"," 1"," 4","0","0","0","0","0","0","0"," 0","0"," 2","0","0"," 2","0","2","0","0"," 0","  0","0"," 21"," 0","0","0","0","11"," 8"," 0","  0"," 0"," 0"," 3","0","0","0"," 0"," 2","0"," 0","0"," 0"," 3"," 2"," 25","  8"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Djibouti","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","1","0"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","5","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 2","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 1","0"," 0","0","0"," 0","0","0","0","2"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 2","  0","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 3","0","0"
"Dominica","0"," 0"," 0","0","0","0","1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","1","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","1"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 2","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 1"," 0","0"," 0"," 0","0","0","1","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0","  0"," 0"," 0","0","1"," 0"," 0","0","0"," 0","0","0"
"Dominican Republic","0"," 0"," 0","0","0","0","2"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0"," 16","0"," 0","0","0"," 1","  0","0","0"," 2","0","0"," 0","0"," 2","0"," 0"," 2"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  6","0","0","0","0","0","  9","0","0"," 0","0","0","2"," 0"," 0"," 0","0","0","0","2"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 1","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","2","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 2"," 4","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 4","0","0"," 2"," 0"," 0"," 0"," 5"," 0","0"," 0"," 4","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  8"," 0","0","0","0"," 0"," 1"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 2","0"," 0"," 0"," 0","  3"," 43"," 0"," 0","0","1"," 0"," 0","0","0"," 0","0","0"
"East Timor","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  0","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0","0"," 0"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 1","0","0","0","0"," 0","  0","0","  0"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0","  0"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
"Ecuador","0"," 0"," 0","0","0","0","0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 1","  0","0","0","10","0","0"," 0","0"," 1","0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","0"," 0"," 0"," 1","0","0"," 0","0","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  0","0","0","0","0","0","0"," 0"," 0","0"," 0"," 2"," 0","0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 4","0","0"," 4"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  2"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0"," 10"," 0"," 0","0","4"," 0"," 0","0","0"," 0","0","0"
"Egypt","0"," 0"," 2","0","1","0","0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 2"," 0","0","0"," 2","0","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0"," 0","0","0"," 0","  4","0","0"," 0","0","0"," 0","0"," 0","0"," 0"," 0"," 1"," 0"," 2","0","0"," 0","0"," 0"," 0"," 0","0","1"," 0","2","0","0"," 0"," 0","  4","0","0","0","0","0"," 34","1","0"," 3","0","0","0"," 0"," 0"," 0","0","0","0","0"," 0","  0"," 1","0"," 1"," 0"," 0","2"," 0"," 0"," 1"," 11"," 0","  0"," 0"," 5"," 0"," 1","0","0","17"," 0","0","0","3","0","0","5"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 1","0","0","0","0","0","  0","0","0","0","0","0","0"," 2"," 0","0"," 0"," 5"," 0","0"," 0","0","0","3","0","0","0"," 0"," 2"," 0","0"," 0","0","0"," 0"," 0"," 2"," 0"," 0"," 4","0"," 1"," 9","0","0","0","0","0","0","0","32","0"," 0","0","0"," 0","0","0","0","0"," 2","  0","1","  5"," 0","5","0","0"," 0","11"," 5","  0"," 0"," 1"," 3","0","0","0"," 2"," 4","0"," 0","0"," 1"," 0","14"," 45","  2"," 0"," 1","0","0"," 0"," 0","0","0"," 5","0","0"
"El Salvador","0"," 0"," 0","0","0","0","0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","0","0"," 0","2","0","0","0","0","0","0"," 0","0","0"," 0","0","0","0","0"," 0","  1","0"," 0","0","0"," 0","  0","0","0"," 2","0","0"," 0","0"," 4","0"," 0"," 1"," 0"," 0"," 0","0","0"," 0","0"," 1"," 0"," 0","0","0"," 0","0","0","0"," 0"," 0","  0","0","0","0","0","0","  0","0","0"," 0","0","0","0"," 0"," 3"," 0","0","0","0","0"," 4","  0"," 0","0"," 0"," 0"," 0","0"," 0"," 0"," 0","  0"," 0","  0"," 0"," 0"," 0"," 0","0","0"," 0"," 0","0","0","0","0","0","0"," 0"," 0"," 0","0"," 0","0"," 0","0","0"," 0","0","0","0","0","0","  2","0","0","0","0","0","0"," 0"," 0","0"," 0"," 0"," 0","0"," 0","4","0","0","0","0","0"," 0"," 0"," 0","0"," 2","0","0"," 2"," 0"," 0"," 0"," 0"," 0","0"," 0"," 0","0","0","0","0","0","0","0"," 0","0"," 0","0","0"," 0","0","0","0","0"," 0","  0","0","  2"," 0","0","0","0"," 0"," 0"," 0","  0"," 0"," 0"," 0","0","0","0"," 0"," 0","0"," 0","0"," 0"," 0"," 0","  0"," 32"," 0"," 0","0","0"," 0"," 0","0","0"," 0","0","0"
